,artist_name,origin
0,ACRAZE,"Staten Island, NY"
1,Lauren Spencer-Smith,"Portsmouth, England"
2,Jnr Choi,The Gambia
3,zzoilo,"Valencia, Spain"
4,Joey Bada$$,"New York City, NY"
5,Muni Long,"Vero Beach, FL"
6,Beegie Adair,Kentucky
7,Bizarrap,Argentina
8,Alvaro Diaz,"San Juan, PR"
9,Fuerza Regida,"Sinaloa, Mexico"
10,Sadie Jean,United States
11,Murda Beatz,Canada
12,MIKE DEAN,England
13,cupcakKe,"Chicago, IL"
14,K'NAAN,"Mogadishu, Somalia"
15,Falling In Reverse,"Las Vegas, NV"
16,Turnstile,Maryland
17,Naughty By Nature,"East Orange, NJ"
18,SoFaygo,"Grand Rapids, MI"
19,BIG30,United States
20,TOKYO’S REVENGE,Connecticut
21,Aaron May,United States
22,Kungs,"Aix-en-Provence, France"
23,Govana,Jamaica
24,Tarrus Riley,"The Bronx, NY"
25,Masicka,Jamaica
26,Teddy Swims,"Atlanta, GA"
27,ROZES,Pennsylvania
28,Orville Peck,Canada
29,Sage The Gemini,"San Francisco, CA"
30,Bandokay,England
31,DigDat,England
32,DaVido,"Atlanta, GA"
33,Kembe X,"Chicago, IL"
34,Stromae,"Etterbeek, Belgium"
35,Tai Verdes,United States
36,Peter McPoland,Vermont
37,charlieonnafriday,United States
38,Ant Clemons,"Willingboro, NJ"
39,Hippo Campus,"Saint Paul, MN"
40,Sofia Carson,"Fort Lauderdale, FL"
41,Haley Joelle,United States
42,CNCO,"Miami, FL"
43,ENHYPEN,South Korea
44,Stephanie Poetri,"Jakarta, Indonesia"
45,Jacques Greene,"Montreal, Canada"
46,Popp Hunna,"Philadelphia, PA"
47,Token,"Boston, MA"
48,Stand Atlantic,"Sydney, Australia"
49,Frank Walker,"Tuskegee, AL"
50,Erica Banks,"DeSoto, TX"
51,Matisyahu,Pennsylvania
52,Amanda Reifer,Barbados
53,Kae Tempest,England
54,Abby Roberts,England
55,Natalie Jane,United States
56,Against The Current,"Poughkeepsie, NY"
57,Elvis Costello,"London, England"
58,lael,"Los Angeles, CA"
59,Keedron Bryant,United States
60,Wisin,"Cayey, PR"
61,grentperez,Australia
62,Spencer.,United States
63,The Walters,"Chicago, IL"
64,Dev Lemons,"Boston, MA"
65,Cuco,"Hawthorne, CA"
66,Evann McIntosh,"Monterey, CA"
67,Alicia Moffet,"Montreal, Canada"
68,JAHKOY,"Toronto, Canada"
69,Josh Kerr,"Tweed Heads, Australia"
70,Chastity,Maryland
71,Liddy Clark,Texas
72,Kelianne,United States
73,Jake Banfield,United States
74,Nicki Minaj,"Saint James, Trinidad And Tobago"
75,Steve Forbert,"Meridian, MS"
76,David Gates,"Tulsa, OK"
77,Roger Whittaker,"Nairobi, Kenya"
78,Gary Wright,"Cresskill, NJ"
79,Cynthia Erivo,"London, England"
80,Janelle Arthur,"Oliver Springs, TN"
81,Mastodon,Alabama
82,Flyleaf,"Temple, TX"
83,Like A Storm,"Auckland, New Zealand"
84,Avant,"Cleveland, OH"
85,Gang of Youths,"Sydney, Australia"
86,Frank Turner,"Manama, Bahrain"
87,The Snuts,Scotland
88,Pavement,"Stockton, CA"
89,Real Estate,Missouri
90,Animal Collective,"Baltimore, MD"
91,Robert Parker,"Springfield, MA"
92,Herbie Hancock,"Chicago, IL"
93,Justin Moore,"Poyen, AR"
94,David J,"Rotterdam, NY"
95,Casey Barnes,Australia
96,Casey Donahew,Texas
97,Zolita,California
98,Rebecca Black,"Irvine, CA"
99,VINCINT,United States
100,Greyson Chance,"Wichita Falls, TX"
101,Betta Lemme,"Montreal, Canada"
102,Jake Wesley Rogers,Missouri
103,Kat Cunning,Oregon
104,Dyllón Burnside,United States
105,Cayley Spivey,South Carolina
106,Trixie Mattel,"Milwaukee, WI"
107,Sammy Copley,Ireland
108,Allison Ponthier,United States
109,Billy Porter,"Pittsburgh, PA"
110,In Love With a Ghost,France
111,Sick Individuals,Netherlands
112,Tinashe,"Lexington, KY"
113,Tove Lo,"Djursholm, Sweden"
114,Blackstreet,"New York City, NY"
115,The Goo Goo Dolls,"Buffalo, NY"
116,EPMD,"Long Island, NY"
117,Russ Millions,"London, England"
118,Loski,"London, England"
119,Sneakbo,"London, England"
120,Yungen,England
121,Scorcher,"London, England"
122,Giggs,England
123,Future,"Atlanta, GA"
124,OMB Peezy,"Mobile, AL"
125,PnB Rock,"Philadelphia, PA"
126,Rejjie Snow,"Dublin, Ireland"
127,Loyle Carner,"London, England"
128,J-Tek,Maryland
129,Jay Prince,"London, England"
130,Lil Peep,"Allentown, PA"
131,Gab3,"Los Angeles, CA"
132,Rxseboy,New York
133,$uicideboy$,"New Orleans, LA"
134,Chri$tian Gate$,"Costa Mesa, CA"
135,347aidan,Canada
136,Powfu,Canada
