artist,age,birth place
SZA,31,"St. Louis, MO"
Polo G,22,"Chicago, IL"
Nardo Wick,19,"Jacksonville, FL"
Ariana Grande,28,"Boca Raton, FL"
EST Gee,27,Missouri
Brent Faiyaz,26,"Columbia, MD"
Cordae,24,"Raleigh, NC"
Tierra Whack,26,United States
Gunna,28,"College Park, GA"
Tm88,34,"Miami, FL"
Adele,33,"London, England"
Freddie Gibbs,39,"Gary, IN"
Isaiah Rashad,30,"Chattanooga, TN"
Rico Nasty,24,"Largo, MD"
Morray,28,"Fayetteville, NC"
French Montana,37,"Rabat, Morocco"
Earl Sweatshirt,27,"Chicago, IL"
KAYTRANADA,29,Haiti
Bruno Mars,36,"Honolulu, HI"
Beyoncé,40,"Houston, TX"
Rick Ross,45,"Clarksdale, MS"
Taylor Swift,32,"Reading, PA"
DaBaby,30,"Cleveland, OH"
Lil Durk,29,"Chicago, IL"
Post Malone,26,"Syracuse, NY"
Young Thug,30,"Atlanta, GA"
Summer Walker,25,Georgia
Remi Wolf,25,"Palo Alto, CA"
PinkPantheress,20,"Bath, England"
Don Toliver,27,"Houston, TX"
Lil Wayne,39,"New Orleans, LA"
Nas,48,"New York City, NY"
James Blake,33,England
Tyla Yaweh,26,"Orlando, FL"
Kelis,42,"New York City, NY"
SpotemGottem,20,"Jacksonville, FL"
Kay Flock,29,United States
B-Lovee,22,United States
Hotboii,21,"Orlando, FL"
DUSTY LOCANE,22,"Brooklyn, NY"
Trapboy Freddy,29,"Dallas, TX"
Bankrol Hayden,20,"Modesto, CA"
Scorey,23,"Syracuse, NY"
2KBABY,21,"Louisville, KY"
LPB Poody,22,"Orlando, FL"
Soldier Kidd,21,"West Palm Beach, FL"
Stunna Gambino,20,"New York City, NY"
Quando Rondo,22,"Savannah, GA"
Doe Boy,27,"Atlanta, GA"
Mak Sauce,20,"Atlanta, GA"
Cochise,23,Jamaica
Fredo Bang,25,"Baton Rouge, LA"
Toosii,21,"Syracuse, NY"
Shordie Shordie,25,"Baltimore, MD"
LUCKI,25,"Chicago, IL"
No Savage,22,"Washington, DC"
J.I the Prince of N.Y,20,"Brooklyn, NY"
Bino Rideaux,29,United States
22Gz,24,"Brooklyn, NY"
Flipp Dinero,26,"Brooklyn, NY"
Baby Keem,21,"Las Vegas, NV"
Autumn!,23,Louisiana
Big Yavo,21,Alabama
