,artist_name,origin
0,Avril Lavigne,Canada
1,Neil Young,Canada
2,Celine Dion,Canada
3,Rush,Canada
4,Joni Mitchell,Canada
5,Alanis Morissette,Canada
6,Shania Twain,Canada
7,Nickelback,Canada
8,Bryan Adams,Canada
9,Leonard Cohen,Canada
10,Arcade Fire,Canada
11,Nelly Furtado,Canada
12,Heart,Canada
13,The Band,Canada
14,Geddy Lee,Canada
15,Three Days Grace,Canada
16,Neko Case,Canada
17,Sarah McLachlan,Canada
18,k.d. lang,Canada
19,Sum 41,Canada
20,Tegan and Sara,Canada
21,Neil Peart,Canada
22,Triumph,Canada
23,Broken Social Scene,Canada
24,Feist,Canada
25,The Guess Who,Canada
26,Michael Bublé,Canada
27,Carly Rae Jepsen,Canada
28,Bachman–Turner Overdrive,Canada
29,Voivod,Canada
30,Barenaked Ladies,Canada
31,Simple Plan,Canada
32,April Wine,Canada
33,Peaches,Canada
34,The New Pornographers,Canada
35,Anne Murray,Canada
36,Jeff Healey,Canada
37,Bif Naked,Canada
38,Tamia,Canada
39,Theory of a Deadman,Canada
40,Godspeed You! Black Emperor,Canada
41,Morgan Lander,Canada
42,Gordon Lightfoot,Canada
43,Richie Hawtin,Canada
44,Mylène Farmer,Canada
45,Loverboy,Canada
46,Pat Travers,Canada
47,Paul Anka,Canada
48,Annihilator,Canada
49,Skinny Puppy,Canada
50,Alexisonfire,Canada
51,Dallas Green,Canada
52,Front Line Assembly,Canada
53,Deborah Cox,Canada
54,MSTRKRFT,Canada
55,3 Inches of Blood,Canada
56,Strapping Young Lad,Canada
57,Silverstein,Canada
58,Emily Haines,Canada
59,Our Lady Peace,Canada
60,Daniel Powter,Canada
61,Crash Test Dummies,Canada
62,Chromeo,Canada
63,Frank Marino,Canada
64,Wolf Parade,Canada
65,A.C. Newman,Canada
66,Tokyo Police Club,Canada
67,Fefe Dobson,Canada
68,Art of Dying,Canada
69,The Tragically Hip,Canada
70,Snow,Canada
71,Lights,Canada
72,Bruce Cockburn,Canada
73,Billy Talent,Canada
74,Cowboy Junkies,Canada
75,Corey Hart,Canada
76,Maynard Ferguson,Canada
77,Kittie,Canada
78,F*cked Up,Canada
79,Swollen Members,Canada
80,Hawk Nelson,Canada
81,Warren Hill,Canada
82,Mercedes Lander,Canada
83,FM Static,Canada
84,Protest the Hero,Canada
85,Tara McLeod,Canada
86,Keith Scott,Canada
87,Colin MacDonald,Canada
88,Terri Clark,Canada
89,The Irish Rovers,Canada
90,Men Without Hats,Canada
91,Owen Pallett,Canada
92,Kathleen Edwards,Canada
93,Helix,Canada
94,Saga,Canada
95,Alannah Myles,Canada
96,Raine Maida,Canada
97,Dave Baksh,Canada
98,Serena Ryder,Canada
99,Exciter,Canada
100,The Creepshow,Canada
101,Sarah Harmer,Canada
102,François Pérusse,Canada
103,CEvin Key,Canada
104,Kid Koala,Canada
105,The Birthday Massacre,Canada
106,Dragonette,Canada
107,James LaBrie,Canada
