,artist_name,origin
0,Justin Bieber,Canada
1,Bruno Mars,Hawaii
2,Billie Eilish,California
3,Ariana Grande,Florida
4,Bruce Springsteen,New Jersey
5,Jimi Hendrix,Washington
6,Janis Joplin,Texas
7,Tom Petty,Florida
8,Beck,California
9,Ozzy Osbourne,England
10,Kanye West,Georgia
11,Alicia Keys,New York
12,Erroll Garner,Pennsylvania
13,John Coltrane,North Carolina
14,McCoy Tyner,Pennsylvania
15,Miles Davis,Illinois
16,Teddy Wilson,Texas
17,Gene Ammons,Illinois
18,Stan Getz,Pennsylvania
19,Lee Morgan,Pennsylvania
20,Art Pepper,California
21,Grace Kelly,Pennsylvania
22,John Mayall,England
23,Miranda Lambert,Texas
24,Blake Shelton,Oklahoma
25,Jean Sibelius,Finland
26,Maurice Ravel,France
27,Wolfgang Amadeus Mozart,Austria
28,George Gershwin,New York
29,Johannes Brahms,Germany
30,Franz Schubert,Austria
31,The Weeknd,Canada
32,Eminem,Missouri
33,Jim Jones,Indiana
34,Selena Gomez,Texas
35,Shakira,Colombia
36,Jack White,Michigan
37,Ice Cube,California
38,JAY-Z,New York
39,Diddy,New York
40,Mariah Carey,New York
41,Jennifer Hudson,Illinois
42,Lorde,New Zealand
43,John Mayer,Connecticut
44,Ludacris,Illinois
45,Kendrick Lamar,California
46,Kelly Clarkson,Texas
47,Rihanna,Barbados
48,Britney Spears,Mississippi
49,Christina Aguilera,New York
50,Barry Manilow,New York
51,Linda Ronstadt,Arizona
52,Diana Ross,Michigan
53,Billy Joel,New York
54,Barbra Streisand,New York
55,Stevie Wonder,Michigan
56,Michael Jackson,Indiana
57,Neil Diamond,New York
58,Bob Seger,Michigan
59,Harry Chapin,New York
60,Carole King,New York
61,Aretha Franklin,Tennessee
62,Al Green,Arkansas
63,Dolly Parton,Tennessee
64,Dionne Warwick,New Jersey
65,Marvin Hamlisch,New York
66,Bette Midler,Hawaii
67,Glen Campbell,Arkansas
68,Bonnie Raitt,California
69,Paul Simon,New Jersey
70,Nina Simone,North Carolina
71,Emmylou Harris,Alabama
72,Richard Thompson,England
73,Norah Jones,New York
74,Phil Ochs,Texas
75,Janet Jackson,Indiana
76,Dinah Washington,Alabama
77,Jackie Wilson,Michigan
78,Marvin Gaye,United States
79,Sam Cooke,Mississippi
80,Ray Charles,Georgia
81,Otis Redding,Georgia
82,Ella Fitzgerald,Virginia
83,Solomon Burke,Pennsylvania
84,Wilson Pickett,Alabama
85,Little Richard,Georgia
86,Saint Agnes,Italy
87,Curtis Mayfield,Illinois
88,Bobby Womack,Ohio
89,Lionel Richie,Alabama
90,Lou Rawls,Illinois
91,Teddy Pendergrass,South Carolina
92,Brad Paisley,West Virginia
93,Carrie Underwood,Oklahoma
94,Alan Jackson,Georgia
95,Faron Young,Louisiana
96,Faith Hill,Mississippi
97,Patsy Cline,Virginia
98,George Strait,Texas
99,Charley Pride,Mississippi
100,Melissa Etheridge,Kansas
101,Whitney Houston,New Jersey
102,Donna Summer,Massachusetts
103,Laura Branigan,New York
104,RuPaul,California
