,artist,age,origin
1,Ed Sheeran,30,"Hebden Bridge, England"
2,The Kid LAROI,18,Australia
3,Elton John,74,"London, England"
4,Adele,33,"London, England"
5,Glass Animals,,"Oxford, England"
6,Lil Nas X,22,"Lithia Springs, GA"
7,CKay,26,Nigeria
8,Doja Cat,26,"Tarzana, CA"
9,Justin Bieber,27,"London, Canada"
10,Coldplay,,"London, England"
11,Imagine Dragons,,"Las Vegas, NV"
12,Jaymes Young,30,Washington
13,SZA,31,"St. Louis, MO"
14,Post Malone,26,"Syracuse, NY"
15,Bruno Mars,36,"Honolulu, HI"
16,Farruko,30,"Bayamon, PR"
17,Juice WRLD,21,"Chicago, IL"
18,Emmy Meli,22,"Torrance, CA"
19,Lost Frequencies,28,"Brussels, Belgium"
20,Tiësto,52,"Breda, Netherlands"
21,Kodak Black,24,"Pompano Beach, FL"
22,FKA twigs,33,"Gloucestershire, England"
23,Billie Eilish,20,"Los Angeles, CA"
24,Oliver Tree,28,"Santa Cruz, CA"
25,Jason Derulo,32,"Miramar, FL"
26,Shawn Mendes,23,"Pickering, Canada"
27,Olivia Rodrigo,18,"Temecula, CA"
28,Måneskin,,"Rome, Italy"
29,Roddy Ricch,23,California
30,Amaarae,27,"New York City, NY"
31,Taylor Swift,32,"Reading, PA"
32,Benson Boone,19,Washington
33,Tate McRae,18,"Calgary, Canada"
34,Summer Walker,25,Georgia
35,Ariana Grande,28,"Boca Raton, FL"
36,AC/DC,,"Sydney, Australia"
37,Guns N' Roses,,"Los Angeles, CA"
38,The Clash,,"London, England"
39,Joan Jett & The Blackhearts,,"Los Angeles, CA"
40,Led Zeppelin,,"London, England"
41,Aerosmith,,"Boston, MA"
42,Bon Jovi,59,"Perth Amboy, NJ"
43,Radiohead,,"Abingdon, England"
44,Journey,,"San Francisco, CA"
45,Fleetwood Mac,,"London, England"
46,The White Stripes,,"Detroit, MI"
47,Black Sabbath,,"Aston, England"
48,ZZ Top,72,"Houston, TX"
