,Unnamed: 0,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms
0,0,spotify:track:6bQfNiqyCX7UaQSvVVGo4I,Shivers,Ed Sheeran,97,89949074,"('pop', 'uk pop')",Shivers,51,0.788,0.859,-2.724,141.02,207853
1,1,spotify:track:4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,84,156867,(),abcdefu,98,0.695,0.54,-5.692,121.932,168602
2,2,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI,90,3093735,"('australian hip hop',)",STAY (with Justin Bieber),97,0.591,0.764,-5.484,169.928,141806
3,3,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Elton John,91,8414522,"('glam rock', 'mellow gold', 'piano rock')",Cold Heart (PNAU Remix),95,0.796,0.798,-6.312,116.032,202735
4,4,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,96,32455266,"('british soul', 'pop', 'pop soul', 'uk pop')",Easy On Me,97,0.604,0.366,-7.519,141.981,224695
5,5,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,86,2282223,"('gauze pop', 'indietronica', 'shiver pop')",Dreamland,89,0.761,0.525,-6.9,80.87,238805
6,6,spotify:track:27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,91,8486304,"('lgbtq+ hip hop', 'pop')",INDUSTRY BABY (feat. Jack Harlow),96,0.736,0.704,-7.409,149.995,212000
7,7,spotify:track:2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,85,341600,"('afro r&b',)",CKay The First,93,0.727,0.739,-3.805,93.005,145800
8,8,spotify:track:20on25jryn53hWghthWWW3,Do It To It,ACRAZE,80,35649,(),Do It To It,94,0.854,0.806,-8.262,124.927,157890
9,9,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,95,13715403,"('dance pop', 'pop')",Planet Her,95,0.824,0.764,-4.175,107.998,172627
10,10,spotify:track:5dPz35akJjPqb17yeqNwqH,Ghost,Justin Bieber,98,54627312,"('canadian pop', 'pop')",Justice,84,0.604,0.741,-5.571,153.947,153190
11,11,spotify:track:3FeVmId7tL5YN8B7R3imoM,My Universe,Coldplay,92,33298123,"('permanent wave', 'pop')",My Universe,92,0.588,0.701,-6.39,104.988,228000
12,12,spotify:track:1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,92,37384299,"('modern rock', 'rock')",Enemy (with JID) [from the series Arcane League of Legends],96,0.728,0.783,-4.424,77.011,173381
13,13,spotify:track:1SOClUWhOi8vHZYMz3GluK,Infinity,Jaymes Young,80,720047,"('modern rock', 'pop')",Feel Something,91,0.671,0.673,-6.941,121.963,237720
14,14,spotify:track:5dXWFMwD7I7zXsInONVl0H,I Hate U,SZA,89,6838589,"('pop', 'r&b', 'rap')",I Hate U,90,0.535,0.388,-9.805,106.703,174000
15,15,spotify:track:00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),Post Malone,92,35325342,"('dfw rap', 'melodic rap', 'rap')",One Right Now,92,0.687,0.781,-4.806,97.014,193507
16,16,spotify:track:4iN16F8JtVxG2UTzp3avGl,Smokin Out The Window,Bruno Mars,93,36593870,"('dance pop', 'pop')",Smokin Out The Window,89,0.627,0.618,-8.529,82.03,197443
17,17,spotify:track:6PQ88X9TkUIAUIZJHW2upE,Bad Habits,Ed Sheeran,97,89949074,"('pop', 'uk pop')",Bad Habits,83,0.808,0.897,-3.712,126.026,231041
